Date,maxtempC,mintempC,sunHour,cloudcover,tempC,FeelsLikeC,humidity,windSpeedKmph,precipMM,weatherDesc
2018-05-20 20:45:00,22,17,12.0,4,18,18,81,17,0.0,Clear
2018-05-29 20:00:00,23,19,13.0,42,19,19,76,22,0.0,Partly cloudy
2018-05-04 06:45:00,21,15,15.0,5,16,16,71,15,0.0,Sunny
2018-05-17 15:45:00,24,20,15.0,11,24,25,51,8,0.0,Sunny
2018-05-05 17:30:00,20,14,15.0,9,18,18,75,18,0.0,Sunny
2018-05-08 19:00:00,19,16,6.0,53,18,18,82,10,0.3,Patchy rain possible
2018-05-17 14:45:00,24,20,15.0,24,24,25,50,7,0.0,Sunny
2018-05-10 16:30:00,20,16,9.0,83,19,19,75,11,0.2,Patchy rain possible
2018-05-20 11:15:00,22,17,12.0,29,21,21,67,18,0.0,Partly cloudy
2018-05-05 21:15:00,20,14,15.0,17,16,16,81,13,0.0,Clear
2018-05-09 16:00:00,20,16,8.0,68,19,19,76,8,0.8,Moderate rain at times
2018-05-03 07:15:00,22,15,14.0,8,17,17,70,6,0.0,Sunny
2018-05-18 20:30:00,26,19,15.0,15,23,25,62,6,0.0,Clear
2018-05-06 08:45:00,18,15,7.0,93,16,16,79,1,0.0,Overcast
2018-05-02 08:15:00,20,14,14.0,5,16,17,68,5,0.0,Sunny
2018-05-01 16:45:00,19,13,14.0,3,19,19,70,14,0.0,Sunny
2018-05-07 19:00:00,19,15,6.0,68,17,17,90,9,0.0,Cloudy
2018-05-03 09:15:00,22,15,14.0,7,19,19,62,6,0.0,Sunny
2018-05-11 06:00:00,20,16,11.0,66,17,17,81,19,0.1,Patchy rain possible
2018-05-15 14:30:00,25,17,15.0,7,24,25,52,4,0.0,Sunny
2018-05-19 06:15:00,26,18,15.0,9,21,21,67,12,0.0,Sunny
2018-05-31 19:15:00,23,18,15.0,20,20,20,66,13,0.0,Clear
2018-05-29 17:45:00,23,19,13.0,71,20,20,75,25,0.0,Cloudy
2018-05-28 13:45:00,22,18,9.0,68,21,21,70,22,0.0,Cloudy
2018-05-08 11:30:00,19,16,6.0,99,18,18,80,15,0.4,Patchy rain possible
2018-05-03 15:15:00,22,15,14.0,5,21,21,61,21,0.0,Sunny
2018-05-30 16:15:00,23,19,15.0,13,21,21,64,24,0.0,Sunny
2018-05-30 16:45:00,23,19,15.0,13,21,21,64,24,0.0,Sunny
2018-05-30 20:00:00,23,19,15.0,15,19,19,75,18,0.0,Clear
2018-05-31 11:15:00,23,18,15.0,3,22,24,50,19,0.0,Sunny
2018-05-25 19:15:00,22,19,7.0,23,20,20,81,21,0.0,Clear
2018-05-08 15:00:00,19,16,6.0,65,19,19,74,12,0.0,Cloudy
2018-05-06 05:15:00,18,15,7.0,72,15,15,83,3,0.0,Cloudy
2018-05-22 06:00:00,21,17,10.0,90,19,19,82,21,0.0,Overcast
2018-05-31 11:00:00,23,18,15.0,3,22,24,50,19,0.0,Sunny
2018-05-26 14:00:00,25,19,11.0,22,24,25,59,21,0.0,Sunny
2018-05-31 14:00:00,23,18,15.0,2,22,24,50,22,0.0,Sunny
2018-05-15 07:15:00,25,17,15.0,7,19,19,58,9,0.0,Sunny
